"dimension","group","share","n_num","n_den","wt_num","wt_den","definition"
"Overall","All workers",0.419601557675643,5231,12330,61814085.081712,147316147.785836,"H3 offer-only (lacks)"
"worker_class","Government",0.206419915763904,354,1728,4111824.38285465,19919707.6873028,"H3 offer-only (lacks)"
"worker_class","Private",0.37975611763854,3534,9259,42671587.3279678,112365766.727643,"H3 offer-only (lacks)"
"worker_class","Self-employed",1,1343,1343,15030673.3708896,15030673.3708896,"H3 offer-only (lacks)"
"Overall","All workers",0.44982894606263,5451,12330,66267067.4965092,147316147.785836,"H4 ownership DC/IRA (lacks)"
"worker_class","Government",0.401138455412189,676,1728,7990560.77394697,19919707.6873028,"H4 ownership DC/IRA (lacks)"
"worker_class","Private",0.436564940276509,3964,9259,49054954.2405778,112365766.727643,"H4 ownership DC/IRA (lacks)"
"worker_class","Self-employed",0.613515592710845,811,1343,9221552.48198443,15030673.3708896,"H4 ownership DC/IRA (lacks)"
"Overall","All workers",0.517118073208764,6382,12330,76179842.4955489,147316147.785836,"H1 offered+eligible (lacks)"
"worker_class","Government",0.302256667302245,509,1728,6020864.45919906,19919707.6873028,"H1 offered+eligible (lacks)"
"worker_class","Private",0.49061476881195,4530,9259,55128304.6654603,112365766.727643,"H1 offered+eligible (lacks)"
"worker_class","Self-employed",1,1343,1343,15030673.3708896,15030673.3708896,"H1 offered+eligible (lacks)"
