"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.49061476881195,4530,9259,55128304.6654603,112365766.727643
"earn_decile","1",0.878154103993018,610,700,7524926.44425107,8569027.24707974
"earn_decile","2",0.823832460462956,762,934,9816096.57416622,11915161.2072314
"earn_decile","3",0.777305503715389,774,1001,9445624.01786055,12151752.3968531
"earn_decile","4",0.6141897570741,597,980,7260001.57796876,11820453.6860957
"earn_decile","5",0.490906756188565,475,931,5651899.12483941,11513182.6025805
"earn_decile","6",0.424241590555168,418,962,4932374.62887604,11626334.4723498
"earn_decile","7",0.329818415827586,313,909,3622228.58084537,10982493.4176474
"earn_decile","8",0.254512236519746,240,917,2842103.16263523,11166862.5504956
"earn_decile","9",0.22101931178674,200,922,2472599.33178707,11187254.6873771
"earn_decile","10",0.136483675101939,141,1003,1560451.22223056,11433244.4599332
