"dim1","group1","dim2","group2","share","n_num","n_den","wt_num","wt_den"
"race_eth","Asian (NH)","educ_grp","Bachelor's+",0.276080332670899,143,520,1772486.04440078,6420182.22469207
"race_eth","Asian (NH)","educ_grp","HS grad",0.637184712315703,53,79,510129.130083081,800598.508129822
"race_eth","Asian (NH)","educ_grp","Less than HS",0.701253821782944,23,31,221408.052426584,315731.687370561
"race_eth","Asian (NH)","educ_grp","Some college/assoc",0.599487087932616,68,120,760285.961067537,1268227.41702319
"race_eth","Black (NH)","educ_grp","Bachelor's+",0.410914585338018,88,234,1784746.61331887,4343351.82298466
"race_eth","Black (NH)","educ_grp","HS grad",0.712781234330261,197,293,3242532.80002707,4549127.61988438
"race_eth","Black (NH)","educ_grp","Less than HS",0.713134462782056,32,42,361672.995696715,507159.609543716
"race_eth","Black (NH)","educ_grp","Some college/assoc",0.582880569651693,148,266,2793857.04416165,4793189.53080071
"race_eth","Hispanic","educ_grp","Bachelor's+",0.410722230301847,183,426,2287806.77861562,5570204.41025136
"race_eth","Hispanic","educ_grp","HS grad",0.751982132320656,551,720,6008853.19117753,7990686.12525924
"race_eth","Hispanic","educ_grp","Less than HS",0.865698223073078,325,370,3339364.33632858,3857423.11503703
"race_eth","Hispanic","educ_grp","Some college/assoc",0.647964605801258,343,529,3874878.99751887,5980078.17529984
"race_eth","White (NH)","educ_grp","Bachelor's+",0.274481590132016,665,2417,7615019.81138147,27743280.7341247
"race_eth","White (NH)","educ_grp","HS grad",0.560314328382118,746,1343,8774328.68740701,15659654.3100058
"race_eth","White (NH)","educ_grp","Less than HS",0.769514473838194,140,182,1785760.72098623,2320633.05070688
"race_eth","White (NH)","educ_grp","Some college/assoc",0.484618077769298,683,1418,8400757.28707874,17334799.6544981
