"panel","group","n_unweighted","workers_weighted","share_of_workers","lacking_access_weighted","lacking_access_rate","share_of_total_gap"
"All workers","All workers",12330,147316147.785836,1,76179842.4955489,0.517118073208764,1
"Class of worker","Private",9259,112365766.727643,0.762752545572925,55128304.6654603,0.49061476881195,0.723659997967065
"Class of worker","Government",1728,19919707.6873028,0.135217408184346,6020864.45919906,0.302256667302245,0.0790348767070613
"Class of worker","Self-employed",1343,15030673.3708896,0.102030046242729,15030673.3708896,1,0.197305125325873
"Work schedule","Full-time",9648,114317144.421208,0.775998735640298,49698143.2905075,0.434739194563782,0.652379181453562
"Work schedule","Part-time",2682,32999003.364628,0.224001264359702,26481699.2050414,0.802499969845376,0.347620818546438
"Sex","Male",6489,76915851.247155,0.522114190488968,39120331.2261702,0.508612081799163,0.51352601875563
"Sex","Female",5841,70400296.538681,0.477885809511032,37059511.2693787,0.526411295000961,0.48647398124437
"Race and ethnicity","White (NH)",7229,83460997.9343279,0.566543445431801,38317557.6731734,0.459107350996737,0.502988145130547
"Race and ethnicity","Black (NH)",1143,19079789.4077581,0.129515940340062,10913812.3283754,0.572009056029603,0.143263781741384
"Race and ethnicity","Hispanic",2635,29821153.778647,0.202429633321665,20119488.05892,0.674671684679293,0.264105141200516
"Race and ethnicity","Asian (NH)",968,11109672.1680442,0.0754138112828958,4686902.26925851,0.421875839211519,0.0615241790442447
"Race and ethnicity","Other (NH)",355,3844534.49705862,0.0260971696235751,2142082.16582161,0.557175951330511,0.0281187528833072
"Educational attainment","Less than HS",809,8931361.39973094,0.060627171793245,7424992.3078044,0.831339364234894,0.0974666271886586
"Educational attainment","HS grad",3151,37344553.2938157,0.253499387915751,24709082.5919171,0.661651577340167,0.32435197793118
"Educational attainment","Some college/assoc",3107,38158418.6144352,0.259024005093514,21370584.4570412,0.560049007087438,0.280528073529292
"Educational attainment","Bachelor's+",5263,62881814.4778541,0.426849435197491,22675183.1387862,0.360600013327733,0.297653321350869
"Age","18-24",1305,17340613.4134659,0.117710201319378,13879500.7448685,0.800404254101545,0.182193875573836
"Age","25-34",2734,35512591.2508399,0.241063805866463,18862860.4094699,0.531159787136734,0.247609601064377
"Age","35-44",2965,35923411.5136934,0.243852503976128,16121293.4303175,0.448768442389508,0.211621511704483
"Age","45-54",2747,31830328.0688464,0.216068153744561,14592941.4526148,0.458460290483071,0.191559091940462
"Age","55-64",2579,26709203.5389903,0.181305335093471,12723246.4582783,0.476361881765016,0.167015919716842
"Disability status","No disability",10733,128229122.356909,0.870434940664651,65074167.2448692,0.507483526743198,0.854217665895954
"Disability status","Disability",1564,18550820.206998,0.125925232812676,10797018.5775366,0.582023784234811,0.141730649786621
"Annual earnings decile (1 = lowest)","1",1244,14725943.4453366,0.0999615022973911,13452821.0556692,0.913545614622701,0.176592922943562
"Annual earnings decile (1 = lowest)","2",1184,14706343.579453,0.0998284560144262,12103841.4375468,0.823035404562263,0.158885094022792
"Annual earnings decile (1 = lowest)","3",1224,14756147.4258001,0.100166530604996,11283881.5256555,0.7646902135124,0.148121617950507
"Annual earnings decile (1 = lowest)","4",1214,14723313.2834096,0.0999436484370606,9218024.71700653,0.626083581838435,0.121003462530723
"Annual earnings decile (1 = lowest)","5",1192,14232637.7560776,0.0966128830409591,7032510.52494412,0.494111537542723,0.0923145847322409
"Annual earnings decile (1 = lowest)","6",1267,15240007.0280418,0.10345102866929,6544043.36826358,0.429398973125304,0.0859025583919517
"Annual earnings decile (1 = lowest)","7",1227,14714419.8333861,0.0998832786123184,4821089.10182319,0.327643845725024,0.0632856270621048
"Annual earnings decile (1 = lowest)","8",1223,14750969.3598079,0.100131381260746,4159649.9432654,0.281991633349821,0.0546030262993579
"Annual earnings decile (1 = lowest)","9",1229,14734177.3055173,0.100017394745737,3883457.56441582,0.263567994594557,0.0509774953215836
"Annual earnings decile (1 = lowest)","10",1326,14732188.7690057,0.100003896317076,3680523.2569588,0.249828678865564,0.0483136107451764
