"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.517118073208764,6382,12330,76179842.4955489,147316147.785836
"worker_class","Government",0.302256667302245,509,1728,6020864.45919906,19919707.6873028
"worker_class","Private",0.49061476881195,4530,9259,55128304.6654603,112365766.727643
"worker_class","Self-employed",1,1343,1343,15030673.3708896,15030673.3708896
"ft_pt","Full-time",0.434739194563782,4247,9648,49698143.2905075,114317144.421208
"ft_pt","Part-time",0.802499969845376,2135,2682,26481699.2050414,32999003.364628
"sex","Female",0.526411295000961,3040,5841,37059511.2693787,70400296.538681
"sex","Male",0.508612081799163,3342,6489,39120331.2261702,76915851.247155
"race_eth","Asian (NH)",0.421875839211519,428,968,4686902.26925851,11109672.1680442
"race_eth","Black (NH)",0.572009056029603,639,1143,10913812.3283754,19079789.4077581
"race_eth","Hispanic",0.674671684679293,1825,2635,20119488.05892,29821153.778647
"race_eth","Other (NH)",0.557175951330511,193,355,2142082.16582161,3844534.49705862
"race_eth","White (NH)",0.459107350996737,3297,7229,38317557.6731734,83460997.9343279
"educ_grp","Bachelor's+",0.360600013327733,1901,5263,22675183.1387862,62881814.4778541
"educ_grp","HS grad",0.661651577340167,2074,3151,24709082.5919171,37344553.2938157
"educ_grp","Less than HS",0.831339364234894,688,809,7424992.3078044,8931361.39973094
"educ_grp","Some college/assoc",0.560049007087438,1719,3107,21370584.4570412,38158418.6144352
"age_band","18-24",0.800404254101545,1056,1305,13879500.7448685,17340613.4134659
"age_band","25-34",0.531159787136734,1446,2734,18862860.4094699,35512591.2508399
"age_band","35-44",0.448768442389508,1370,2965,16121293.4303175,35923411.5136934
"age_band","45-54",0.458460290483071,1268,2747,14592941.4526148,31830328.0688464
"age_band","55-64",0.476361881765016,1242,2579,12723246.4582783,26709203.5389903
"disability","Disability",0.582023784234811,899,1564,10797018.5775366,18550820.206998
"disability","No disability",0.507483526743198,5464,10733,65074167.2448692,128229122.356909
"earn_decile","1",0.913545614622701,1139,1244,13452821.0556692,14725943.4453366
"earn_decile","2",0.823035404562263,972,1184,12103841.4375468,14706343.579453
"earn_decile","3",0.7646902135124,930,1224,11283881.5256555,14756147.4258001
"earn_decile","4",0.626083581838435,745,1214,9218024.71700653,14723313.2834096
"earn_decile","5",0.494111537542723,612,1192,7032510.52494412,14232637.7560776
"earn_decile","6",0.429398973125304,553,1267,6544043.36826358,15240007.0280418
"earn_decile","7",0.327643845725024,418,1227,4821089.10182319,14714419.8333861
"earn_decile","8",0.281991633349821,350,1223,4159649.9432654,14750969.3598079
"earn_decile","9",0.263567994594557,322,1229,3883457.56441582,14734177.3055173
"earn_decile","10",0.249828678865564,341,1326,3680523.2569588,14732188.7690057
