"dimension","group","n_unweighted","workers_weighted","lacking_weighted","lacking_access_rate","share_of_gov_gap"
"gov_subclass","Federal",333,3823580.54553766,892448.458142892,0.233406475295631,0.148225967249496
"gov_subclass","Local",673,7882187.91037834,2645566.86398539,0.335638644252824,0.439399837334541
"gov_subclass","State",722,8213939.23138684,2482849.13707078,0.302272644967155,0.412374195415963
"ft_pt","Full-time",1465,16793316.8433017,3966412.70749382,0.236189952497437,0.658777943661178
"ft_pt","Part-time",263,3126390.84400119,2054451.75170523,0.657132090713241,0.341222056338822
"earn_decile","1",95,1182832.34893068,953810.762091909,0.806378657934224,0.158417577501619
"earn_decile","2",120,1418881.36611182,915443.857270746,0.645187031935832,0.152045252550416
"earn_decile","3",139,1701146.99375223,935009.472600177,0.549634732350685,0.155294888123849
"earn_decile","4",145,1719404.14052273,774567.682246544,0.450486109688595,0.128647254475744
"earn_decile","5",168,1813475.64763972,474631.894247317,0.261724989174827,0.0788311873591747
"earn_decile","6",231,2747594.21580114,745590.399496585,0.271361176700973,0.123834443467237
"earn_decile","7",260,3010555.75854282,477489.863781967,0.158605221785722,0.0793058649663551
"earn_decile","8",219,2556404.36070712,289844.332024943,0.113379689254156,0.0481399862078111
"earn_decile","9",204,2385735.32233322,249670.936821793,0.104651565697413,0.0414676228826792
"earn_decile","10",147,1383677.53296137,204805.258617076,0.148015165194413,0.034015922465114
"age_band","18-24",107,1495812.98598954,1017371.62108359,0.680146268693179,0.168974343796958
"age_band","25-34",322,4198096.36002871,1721553.79372075,0.410079628021921,0.285931331852265
"age_band","35-44",427,4901056.93932007,981776.542401304,0.200319350408834,0.163062388973278
"age_band","45-54",444,4866690.80983767,1157841.33016073,0.23791142182697,0.192304832305551
"age_band","55-64",428,4458050.59212685,1142321.17183268,0.256237821493117,0.189727103071947
"educ_grp","Bachelor's+",1025,11670214.282525,2660850.46902149,0.228003565710516,0.441938277643184
"educ_grp","HS grad",279,3406707.72557253,1568004.34338659,0.460269700161341,0.260428440801535
"educ_grp","Less than HS",33,397641.206982764,199939.878555674,0.502814786407034,0.0332078358366286
"educ_grp","Some college/assoc",391,4445144.47222254,1592069.7682353,0.358159285526951,0.264425445718652
