"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.367277245671826,4558,12330,54105869.0017654,147316147.785836
"worker_class","Government",0.341318853755025,620,1728,6798971.79496535,19919707.6873028
"worker_class","Private",0.408706345447968,3811,9259,45924601.872714,112365766.727643
"worker_class","Self-employed",0.0919649639092786,127,1343,1382295.33408601,15030673.3708896
"ft_pt","Full-time",0.433466555854956,4153,9648,49552658.8674346,114317144.421208
"ft_pt","Part-time",0.137980231827589,405,2682,4553210.13433077,32999003.364628
"sex","Female",0.342409372916198,2062,5841,24105721.3909242,70400296.538681
"sex","Male",0.390038556739641,2496,6489,30000147.6108413,76915851.247155
"race_eth","Asian (NH)",0.472211181600892,434,968,5246111.4216707,11109672.1680442
"race_eth","Black (NH)",0.299769422946452,367,1143,5719537.4607035,19079789.4077581
"race_eth","Hispanic",0.246657690990842,607,2635,7355616.9337239,29821153.778647
"race_eth","Other (NH)",0.322063352344823,123,355,1238183.66832802,3844534.49705862
"race_eth","White (NH)",0.413922914563309,3027,7229,34546419.5173393,83460997.9343279
"educ_grp","Bachelor's+",0.493259721662135,2618,5263,31017066.3069563,62881814.4778541
"educ_grp","HS grad",0.250966362858245,807,3151,9372226.71271481,37344553.2938157
"educ_grp","Less than HS",0.144241631059491,103,809,1288274.13587897,8931361.39973094
"educ_grp","Some college/assoc",0.325702749157266,1030,3107,12428301.8462153,38158418.6144352
"age_band","18-24",0.147143887201591,184,1305,2551565.26411743,17340613.4134659
"age_band","25-34",0.361331511837039,1014,2734,12831818.2859168,35512591.2508399
"age_band","35-44",0.423009934668376,1239,2965,15195959.9574726,35923411.5136934
"age_band","45-54",0.400554051978524,1099,2747,12749766.8837822,31830328.0688464
"age_band","55-64",0.40348483603206,1022,2579,10776758.6104764,26709203.5389903
"disability","Disability",0.302342025707035,486,1564,5608692.55991077,18550820.206998
"disability","No disability",0.376946038372001,4062,10733,48335459.6763555,128229122.356909
"earn_decile","1",0.0732796792876569,92,1244,1079112.41288244,14725943.4453366
"earn_decile","2",0.116955105464409,147,1184,1719981.96433076,14706343.579453
"earn_decile","3",0.141621862529676,185,1224,2089793.08220429,14756147.4258001
"earn_decile","4",0.264414009041323,332,1214,3893050.29163771,14723313.2834096
"earn_decile","5",0.377820260254348,431,1192,5377378.90110709,14232637.7560776
"earn_decile","6",0.396267110107697,506,1267,6039113.54302313,15240007.0280418
"earn_decile","7",0.497174101911876,593,1227,7315628.46581804,14714419.8333861
"earn_decile","8",0.537775324331968,669,1223,7932707.33168164,14750969.3598079
"earn_decile","9",0.597654138233619,732,1229,8805942.04011027,14734177.3055173
"earn_decile","10",0.668818539014351,871,1326,9853160.96897004,14732188.7690057
