"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.408706345447968,3811,9259,45924601.872714,112365766.727643
"earn_decile","1",0.0887327447604789,66,700,760353.307560715,8569027.24707974
"earn_decile","2",0.118807951510826,118,934,1415615.89495242,11915161.2072314
"earn_decile","3",0.139135199147277,154,1001,1690736.48972456,12151752.3968531
"earn_decile","4",0.293738659584038,287,980,3472124.22142895,11820453.6860957
"earn_decile","5",0.40879678364267,369,931,4706552.01742565,11513182.6025805
"earn_decile","6",0.437739290780817,419,962,5089303.40630694,11626334.4723498
"earn_decile","7",0.545630206610244,481,909,5992380.15256662,10982493.4176474
"earn_decile","8",0.599244824408267,556,917,6691684.58826298,11166862.5504956
"earn_decile","9",0.667386889296759,613,922,7466227.10557917,11187254.6873771
"earn_decile","10",0.75565817902196,748,1003,8639624.68890603,11433244.4599332
