"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.398559054959419,4431,10987,52723573.6676794,132285474.414946
"worker_class","Government",0.341318853755025,620,1728,6798971.79496535,19919707.6873028
"worker_class","Private",0.408706345447968,3811,9259,45924601.872714,112365766.727643
"ft_pt","Full-time",0.461059790455637,4067,8824,48626378.2441822,105466534.386197
"ft_pt","Part-time",0.152772459280833,364,2163,4097195.42349721,26818940.0287494
"sex","Female",0.369840962322071,2020,5285,23666282.6564331,63990431.2054641
"sex","Male",0.425467056549309,2411,5702,29057291.0112463,68295043.2094823
"race_eth","Asian (NH)",0.507920615454593,425,874,5144507.5061966,10128566.0586787
"race_eth","Black (NH)",0.318458271706079,360,1037,5613259.43832654,17626357.7901575
"race_eth","Hispanic",0.270815202029519,589,2333,7173352.47622105,26487997.8024246
"race_eth","Other (NH)",0.346807704892675,120,324,1227284.27555159,3538803.37212055
"race_eth","White (NH)",0.450516520920003,2937,6419,33565169.9713836,74503749.391565
"educ_grp","Bachelor's+",0.532222744261869,2535,4696,30104991.7073227,56564647.0991667
"educ_grp","HS grad",0.275774284716561,792,2809,9234207.19862756,33484656.512185
"educ_grp","Less than HS",0.165656938527045,99,672,1250274.16928006,7547369.76547434
"educ_grp","Some college/assoc",0.349798788926568,1005,2810,12134100.5924491,34688801.0381203
"age_band","18-24",0.149385419791053,178,1252,2493581.3521844,16692267.2619068
"age_band","25-34",0.383658369194492,999,2546,12665643.0157279,33012815.6524253
"age_band","35-44",0.456696872429258,1206,2658,14821624.7835418,32453966.029377
"age_band","45-54",0.447815204135373,1062,2378,12368046.2478532,27618638.5224079
"age_band","55-64",0.460937287702188,986,2153,10374678.2683721,22507786.9488293
"disability","Disability",0.334005754832758,477,1393,5512640.77391386,16504628.1213752
"disability","No disability",0.408183794324675,3944,9562,47049216.1282664,115264782.145767
"earn_decile","1",0.0865970497919679,72,795,844482.270999994,9751859.59601042
"earn_decile","2",0.125230804467077,141,1054,1669832.87825803,13334042.5733432
"earn_decile","3",0.149233550177915,182,1140,2067317.3563175,13852899.3906053
"earn_decile","4",0.282972807021443,327,1125,3831411.57586947,13539857.8266184
"earn_decile","5",0.400308149920365,426,1099,5334769.90876663,13326658.2502202
"earn_decile","6",0.414258302069636,500,1193,5954519.29242342,14373928.6881509
"earn_decile","7",0.51866763142265,587,1169,7257741.67259526,13993049.1761903
"earn_decile","8",0.565316423393409,652,1136,7757988.16751424,13723266.9112027
"earn_decile","9",0.632720739332548,714,1126,8587912.27389719,13572990.0097103
"earn_decile","10",0.734778465239828,830,1150,9417598.27103767,12816921.9928946
