"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.809818116555443,4317,5321,51251580.0118812,63287766.6776331
"worker_class","Government",0.555498315014778,592,1035,6490393.69382983,11683912.4771371
"worker_class","Private",0.875501578771315,3614,4120,43529179.1843672,49719132.7118522
"worker_class","Self-employed",0.653681268615838,111,166,1232007.13368418,1884721.48864375
"ft_pt","Full-time",0.814963441834711,3952,4853,47114562.749008,57811872.6932584
"ft_pt","Part-time",0.755496230328417,365,468,4137017.26287314,5475893.9843747
"sex","Female",0.788407715913768,1956,2467,22894346.1098879,29038713.913845
"sex","Male",0.827971333910166,2361,2854,28357233.9019933,34249052.7637881
"race_eth","Asian (NH)",0.86592310592999,410,482,4997225.58713397,5770980.76366378
"race_eth","Black (NH)",0.777718766765933,349,431,5456917.19500505,7016568.74977712
"race_eth","Hispanic",0.829517228241849,569,698,6860629.44490235,8270629.24231648
"race_eth","Other (NH)",0.813225483236569,114,140,1140014.23650835,1401842.73612675
"race_eth","White (NH)",0.80329671401445,2875,3570,32796793.5483315,40827745.185749
"educ_grp","Bachelor's+",0.801173199188686,2498,3108,29523602.8401305,36850462.384448
"educ_grp","HS grad",0.807518315929979,750,917,8748282.91996196,10833541.1685207
"educ_grp","Less than HS",0.90378151051936,93,105,1156636.71326058,1279774.70195857
"educ_grp","Some college/assoc",0.825402617596833,976,1191,11823057.5385281,14323988.4227058
"age_band","18-24",0.865050818378848,172,196,2412387.33967005,2788723.26158941
"age_band","25-34",0.829215577215546,962,1150,12215776.829533,14731726.1821743
"age_band","35-44",0.81423610224714,1191,1450,14584378.4261038,17911731.4816349
"age_band","45-54",0.785408261240363,1036,1324,11970088.8658148,15240594.5500381
"age_band","55-64",0.798173251916847,956,1201,10068948.5507595,12614991.2021963
"disability","Disability",0.768542389013941,457,592,5305447.75773668,6903259.77275463
"disability","No disability",0.814864620990744,3851,4717,45802801.9264092,56209093.8133016
"earn_decile","1",0.721858831583021,82,106,976212.237247653,1352358.93021748
"earn_decile","2",0.804348502102931,131,163,1589367.19653045,1975968.36741179
"earn_decile","3",0.737585049287659,165,221,1829904.6096155,2480940.4846028
"earn_decile","4",0.820909498580862,307,378,3556479.84867498,4332365.32750955
"earn_decile","5",0.806890813558102,404,501,5040079.13255843,6246296.33634503
"earn_decile","6",0.766135680944548,472,609,5615029.24603863,7329027.20196508
"earn_decile","7",0.792689100479102,573,726,7120707.05496798,8982975.861109
"earn_decile","8",0.792216663894927,638,792,7572882.13380855,9559104.8244006
"earn_decile","9",0.837651824403095,702,847,8402547.00693004,10031073.4867887
"earn_decile","10",0.868218797661833,843,978,9548371.54550897,10997655.8572831
