"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.878743235115997,4317,4909,51251580.0118812,58323726.3899003
"worker_class","Government",0.792508773510496,592,730,6490393.69382983,8189680.55720063
"worker_class","Private",0.901435504576898,3614,4018,43529179.1843672,48288733.8731996
"worker_class","Self-employed",0.667641656654059,111,161,1232007.13368418,1845311.95950008
"ft_pt","Full-time",0.882175958946905,3952,4480,47114562.749008,53407216.860966
"ft_pt","Part-time",0.841454132962891,365,429,4137017.26287314,4916509.52893423
"sex","Female",0.866849161228387,1956,2244,22894346.1098879,26410991.8240504
"sex","Male",0.888586775397765,2361,2665,28357233.9019933,31912734.5658499
"race_eth","Asian (NH)",0.908509844231981,410,459,4997225.58713397,5500463.88474571
"race_eth","Black (NH)",0.871802679259227,349,391,5456917.19500505,6259348.96144366
"race_eth","Hispanic",0.898193874823655,569,635,6860629.44490235,7638250.08965833
"race_eth","Other (NH)",0.84723698666882,114,135,1140014.23650835,1345567.12519206
"race_eth","White (NH)",0.872717122950651,2875,3289,32796793.5483315,37580096.3288605
"educ_grp","Bachelor's+",0.876835666377717,2498,2844,29523602.8401305,33670622.6402663
"educ_grp","HS grad",0.869181565357425,750,859,8748282.91996196,10064966.0193431
"educ_grp","Less than HS",0.919430368547443,93,103,1156636.71326058,1257992.72335096
"educ_grp","Some college/assoc",0.886941404791384,976,1103,11823057.5385281,13330145.0069399
"age_band","18-24",0.923915825060193,172,187,2412387.33967005,2611046.67139226
"age_band","25-34",0.877868636256522,962,1079,12215776.829533,13915267.415891
"age_band","35-44",0.889350903080635,1191,1334,14584378.4261038,16398902.1381603
"age_band","45-54",0.861140564083237,1036,1211,11970088.8658148,13900272.9229903
"age_band","55-64",0.875694973003996,956,1098,10068948.5507595,11498237.2414664
"disability","Disability",0.858093909500464,457,530,5305447.75773668,6182828.82444093
"disability","No disability",0.881408157551758,3851,4367,45802801.9264092,51965484.4738825
"earn_decile","1",0.774390669531616,82,101,976212.237247653,1260619.83396327
"earn_decile","2",0.919656927053556,131,145,1589367.19653045,1728217.50130513
"earn_decile","3",0.825335414735362,165,196,1829904.6096155,2217164.77561096
"earn_decile","4",0.878652040078254,307,349,3556479.84867498,4047654.45984537
"earn_decile","5",0.880330167503551,404,457,5040079.13255843,5725214.60539191
"earn_decile","6",0.86446344132982,472,542,5615029.24603863,6495392.3758776
"earn_decile","7",0.886782854815052,573,651,7120707.05496798,8029820.39662131
"earn_decile","8",0.874004940213167,638,720,7572882.13380855,8664575.89125474
"earn_decile","9",0.889396968047237,702,797,8402547.00693004,9447465.31504228
"earn_decile","10",0.891737685776821,843,951,9548371.54550897,10707601.2349877
