"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.429605088300565,5321,12330,63287766.6776331,147316147.785836
"worker_class","Government",0.586550398256329,1035,1728,11683912.4771371,19919707.6873028
"worker_class","Private",0.442475801659089,4120,9259,49719132.7118522,112365766.727643
"worker_class","Self-employed",0.125391686861745,166,1343,1884721.48864375,15030673.3708896
"ft_pt","Full-time",0.505714807572934,4853,9648,57811872.6932584,114317144.421208
"ft_pt","Part-time",0.165941192946584,468,2682,5475893.9843747,32999003.364628
"sex","Female",0.412479994283687,2467,5841,29038713.913845,70400296.538681
"sex","Male",0.445279512720143,2854,6489,34249052.7637881,76915851.247155
"race_eth","Asian (NH)",0.519455540755144,482,968,5770980.76366378,11109672.1680442
"race_eth","Black (NH)",0.367748752348601,431,1143,7016568.74977712,19079789.4077581
"race_eth","Hispanic",0.277341021199473,698,2635,8270629.24231648,29821153.778647
"race_eth","Other (NH)",0.364632632949261,140,355,1401842.73612675,3844534.49705862
"race_eth","White (NH)",0.489183525194303,3570,7229,40827745.185749,83460997.9343279
"educ_grp","Bachelor's+",0.586027338594469,3108,5263,36850462.384448,62881814.4778541
"educ_grp","HS grad",0.290096954254231,917,3151,10833541.1685207,37344553.2938157
"educ_grp","Less than HS",0.14328999182556,105,809,1279774.70195857,8931361.39973094
"educ_grp","Some college/assoc",0.375382129103409,1191,3107,14323988.4227058,38158418.6144352
"age_band","18-24",0.160820335192053,196,1305,2788723.26158941,17340613.4134659
"age_band","25-34",0.414831068736104,1150,2734,14731726.1821743,35512591.2508399
"age_band","35-44",0.498608866109703,1450,2965,17911731.4816349,35923411.5136934
"age_band","45-54",0.478807334849769,1324,2747,15240594.5500381,31830328.0688464
"age_band","55-64",0.472308774905283,1201,2579,12614991.2021963,26709203.5389903
"disability","Disability",0.372126930007681,592,1564,6903259.77275463,18550820.206998
"disability","No disability",0.438348892826787,4717,10733,56209093.8133016,128229122.356909
"earn_decile","1",0.0918351299689216,106,1244,1352358.93021748,14725943.4453366
"earn_decile","2",0.134361634945923,163,1184,1975968.36741179,14706343.579453
"earn_decile","3",0.168129282868579,221,1224,2480940.4846028,14756147.4258001
"earn_decile","4",0.294252064336042,378,1214,4332365.32750955,14723313.2834096
"earn_decile","5",0.438871307160034,501,1192,6246296.33634503,14232637.7560776
"earn_decile","6",0.480907074942916,609,1267,7329027.20196508,15240007.0280418
"earn_decile","7",0.610487940593294,726,1227,8982975.861109,14714419.8333861
"earn_decile","8",0.648032315113226,792,1223,9559104.8244006,14750969.3598079
"earn_decile","9",0.680803093297411,847,1229,10031073.4867887,14734177.3055173
"earn_decile","10",0.746505222660499,978,1326,10997655.8572831,14732188.7690057
