"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.442475801659089,4120,9259,49719132.7118522,112365766.727643
"earn_decile","1",0.0934336175994285,71,700,800635.215002732,8569027.24707974
"earn_decile","2",0.127585748042209,123,934,1520204.75566813,11915161.2072314
"earn_decile","3",0.154882751690289,169,1001,1882096.84908367,12151752.3968531
"earn_decile","4",0.303419345379261,302,980,3586554.31952103,11820453.6860957
"earn_decile","5",0.436539744367757,386,931,5025961.7901898,11513182.6025805
"earn_decile","6",0.482101783262754,459,962,5605076.58192904,11626334.4723498
"earn_decile","7",0.611640021988863,537,909,6717332.51546242,10982493.4176474
"earn_decile","8",0.656511041628783,599,917,7331168.56475131,11166862.5504956
"earn_decile","9",0.707038400584866,661,922,7909818.66109864,11187254.6873771
"earn_decile","10",0.816940763566952,813,1003,9340283.45914545,11433244.4599332
