"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.464170729708263,5155,10987,61403045.1889894,132285474.414946
"worker_class","Government",0.586550398256329,1035,1728,11683912.4771371,19919707.6873028
"worker_class","Private",0.442475801659089,4120,9259,49719132.7118522,112365766.727643
"ft_pt","Full-time",0.536243610021363,4738,8824,56555755.1356964,105466534.386197
"ft_pt","Part-time",0.180741298802143,417,2163,4847290.05329296,26818940.0287494
"sex","Female",0.444070840491748,2413,5285,28416284.5688398,63990431.2054641
"sex","Male",0.483003730138494,2742,5702,32986760.6201495,68295043.2094823
"race_eth","Asian (NH)",0.558328233111167,471,874,5655064.39149183,10128566.0586787
"race_eth","Black (NH)",0.388078389851185,422,1037,6840408.55014522,17626357.7901575
"race_eth","Hispanic",0.303295626750714,676,2333,8033693.89485789,26487997.8024246
"race_eth","Other (NH)",0.393054712875112,137,324,1390943.34335032,3538803.37212055
"race_eth","White (NH)",0.529945611215296,3449,6419,39482935.0091441,74503749.391565
"educ_grp","Bachelor's+",0.629306870474569,2996,4696,35596521.045475,56564647.0991667
"educ_grp","HS grad",0.315055228563672,894,2809,10549516.1108225,33484656.512185
"educ_grp","Less than HS",0.165030474386613,101,672,1245546.01276741,7547369.76547434
"educ_grp","Some college/assoc",0.403918890264526,1164,2810,14011462.0199245,34688801.0381203
"age_band","18-24",0.16394988384228,191,1252,2736695.27865392,16692267.2619068
"age_band","25-34",0.439232111384864,1129,2546,14500288.7217741,33012815.6524253
"age_band","35-44",0.535608551103919,1411,2658,17382621.7225704,32453966.029377
"age_band","45-54",0.533734332474859,1276,2378,14741015.5956218,27618638.5224079
"age_band","55-64",0.535033670691269,1148,2153,12042423.8703692,22507786.9488293
"disability","Disability",0.407455195512636,577,1393,6724896.47805826,16504628.1213752
"disability","No disability",0.472848120689877,4566,9562,54502735.6193542,115264782.145767
"earn_decile","1",0.0999979700928804,81,795,975166.164231819,9751859.59601042
"earn_decile","2",0.142399595214009,154,1054,1898762.26501044,13334042.5733432
"earn_decile","3",0.176196243919003,216,1140,2440828.8400125,13852899.3906053
"earn_decile","4",0.312490841693265,370,1125,4231081.56864714,13539857.8266184
"earn_decile","5",0.462219664622554,491,1099,6159843.50695618,13326658.2502202
"earn_decile","6",0.50359038744964,602,1193,7238572.3172394,14373928.6881509
"earn_decile","7",0.635272692544423,718,1169,8889402.0270649,13993049.1761903
"earn_decile","8",0.683406664393358,774,1136,9378572.0643648,13723266.9112027
"earn_decile","9",0.721543650538087,827,1126,9793504.76032336,13572990.0097103
"earn_decile","10",0.811217520158341,922,1150,10397311.6751388,12816921.9928946
