"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.91663850460442,5155,5615,61403045.1889894,66987198.2036017
"worker_class","Government",0.899091788920827,1035,1147,11683912.4771371,12995238.7744095
"worker_class","Private",0.920861795672677,4120,4468,49719132.7118522,53991959.4291922
"worker_class","Self-employed",NA,0,0,0,0
"ft_pt","Full-time",0.92336014720096,4738,5123,56555755.1356964,61249941.6475115
"ft_pt","Part-time",0.844879430770351,417,492,4847290.05329296,5737256.55609021
"sex","Female",0.917756790177437,2413,2623,28416284.5688398,30962761.4559473
"sex","Male",0.915677345664463,2742,2992,32986760.6201495,36024436.7476544
"race_eth","Asian (NH)",0.931593008968886,471,511,5655064.39149183,6070316.47623785
"race_eth","Black (NH)",0.901484356352601,422,465,6840408.55014522,7587939.27142724
"race_eth","Hispanic",0.905579593765103,676,744,8033693.89485789,8871328.31853734
"race_eth","Other (NH)",0.866502841093504,137,156,1390943.34335032,1605238.06430338
"race_eth","White (NH)",0.92137096299621,3449,3739,39482935.0091441,42852376.0730959
"educ_grp","Bachelor's+",0.930910605943286,2996,3215,35596521.045475,38238388.1096781
"educ_grp","HS grad",0.89754393451958,894,998,10549516.1108225,11753760.1281538
"educ_grp","Less than HS",0.863526586538841,101,114,1245546.01276741,1442394.51591151
"educ_grp","Some college/assoc",0.900904804655214,1164,1288,14011462.0199245,15552655.4498583
"age_band","18-24",0.921825500766793,191,214,2736695.27865392,2968778.01316787
"age_band","25-34",0.928734491079307,1129,1218,14500288.7217741,15612953.8216276
"age_band","35-44",0.924802809977364,1411,1518,17382621.7225704,18796030.3915987
"age_band","45-54",0.907217019945258,1276,1398,14741015.5956218,16248610.0586068
"age_band","55-64",0.901323312176676,1148,1267,12042423.8703692,13360825.9186007
"disability","Disability",0.92298828796654,577,625,6724896.47805826,7286004.12999179
"disability","No disability",0.915898537261755,4566,4977,54502735.6193542,59507394.5442691
"earn_decile","1",0.809820965921029,81,97,975166.164231819,1204175.00320301
"earn_decile","2",0.889423199768499,154,180,1898762.26501044,2134824.30580252
"earn_decile","3",0.840505977198207,216,254,2440828.8400125,2903999.3839769
"earn_decile","4",0.846252136852321,370,425,4231081.56864714,4999788.34249668
"earn_decile","5",0.906914489733801,491,542,6159843.50695618,6792088.53390823
"earn_decile","6",0.89718832540937,602,668,7238572.3172394,8068063.42908728
"earn_decile","7",0.945432129452925,718,766,8889402.0270649,9402475.06947829
"earn_decile","8",0.918934376454082,774,842,9378572.0643648,10205921.45062
"earn_decile","9",0.941558809680686,827,874,9793504.76032336,10401373.4029473
"earn_decile","10",0.956119538622471,922,967,10397311.6751388,10874489.2820816
