"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.863174506159985,5155,5948,61403045.1889894,71136305.290287
"worker_class","Government",0.840639201794291,1035,1219,11683912.4771371,13898843.2281038
"worker_class","Private",0.868646703060261,4120,4729,49719132.7118522,57237462.0621832
"worker_class","Self-employed",NA,0,0,0,0
"ft_pt","Full-time",0.875218653121935,4738,5401,56555755.1356964,64619001.1307004
"ft_pt","Part-time",0.743756917676289,417,547,4847290.05329296,6517304.15958656
"sex","Female",0.852297998961754,2413,2801,28416284.5688398,33340785.2693022
"sex","Male",0.872769063683598,2742,3147,32986760.6201495,37795520.0209848
"race_eth","Asian (NH)",0.880471273392651,471,540,5655064.39149183,6422769.8987857
"race_eth","Black (NH)",0.8376717793411,422,504,6840408.55014522,8165977.07938279
"race_eth","Hispanic",0.828073665589456,676,810,8033693.89485789,9701665.71972699
"race_eth","Other (NH)",0.817023371420714,137,162,1390943.34335032,1702452.33123701
"race_eth","White (NH)",0.87461068054928,3449,3932,39482935.0091441,45143440.2611545
"educ_grp","Bachelor's+",0.88533955369911,2996,3362,35596521.045475,40206631.3390679
"educ_grp","HS grad",0.83491279111884,894,1077,10549516.1108225,12635470.7018986
"educ_grp","Less than HS",0.826853139408511,101,121,1245546.01276741,1506369.09192655
"educ_grp","Some college/assoc",0.834619992582743,1164,1388,14011462.0199245,16787834.157394
"age_band","18-24",0.790698119562484,191,249,2736695.27865392,3461112.66859748
"age_band","25-34",0.870902290248734,1129,1288,14500288.7217741,16649730.8413699
"age_band","35-44",0.877816284570253,1411,1595,17382621.7225704,19802118.0833759
"age_band","45-54",0.855176943222986,1276,1479,14741015.5956218,17237386.6162316
"age_band","55-64",0.861036810056912,1148,1337,12042423.8703692,13985957.080712
"disability","Disability",0.867303137148399,577,665,6724896.47805826,7753801.62946142
"disability","No disability",0.863000148169909,4566,5269,54502735.6193542,63154955.1120398
"earn_decile","1",0.765964193345579,81,105,975166.164231819,1273122.38966744
"earn_decile","2",0.729591047951894,154,212,1898762.26501044,2602502.14190627
"earn_decile","3",0.702949863347411,216,294,2440828.8400125,3472265.90014456
"earn_decile","4",0.768548554287957,370,469,4231081.56864714,5505288.56640312
"earn_decile","5",0.855518702547491,491,580,6159843.50695618,7200127.23113349
"earn_decile","6",0.832405998971708,602,714,7238572.3172394,8695963.65977827
"earn_decile","7",0.898524699948102,718,809,8889402.0270649,9893330.73156292
"earn_decile","8",0.885496102564562,774,873,9378572.0643648,10591319.4165425
"earn_decile","9",0.902567294520247,827,907,9793504.76032336,10850719.7411014
"earn_decile","10",0.940791382421517,922,985,10397311.6751388,11051665.5120469
