"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.0931644341426052,506,5448,6189953.52748505,66441164.8549295
"earn_decile","1",0.0129213815408733,11,634,100898.8553008,7808673.93951902
"earn_decile","2",0.02036292362781,18,816,213801.439320668,10499545.312279
"earn_decile","3",0.0393153174519019,31,847,411278.161258153,10461015.9071285
"earn_decile","4",0.0495911908060624,37,693,414003.599394161,8348329.46466675
"earn_decile","5",0.0841158280013603,40,562,572545.367569684,6806630.58515485
"earn_decile","6",0.137702682317168,70,543,900166.712184752,6537031.06604281
"earn_decile","7",0.176055097817637,71,428,878534.87900489,4990113.26508082
"earn_decile","8",0.216220708907883,71,361,967626.15148287,4475177.96223261
"earn_decile","9",0.203137842622307,69,309,755881.515304528,3721027.58179791
"earn_decile","10",0.349087179572034,88,255,975216.846664545,2793619.77102716
