"dimension","group","share","n_num","n_den","wt_num","wt_den"
"Overall","All workers",0.201216159567552,2516,12330,29642389.4997519,147316147.785836
"worker_class","Government",0.146834836758146,243,1728,2924907.02653509,19919707.6873028
"worker_class","Private",0.200131496489578,1878,9259,22487929.0494022,112365766.727643
"worker_class","Self-employed",0.281394806436694,395,1343,4229553.42381465,15030673.3708896
"race_eth","Asian (NH)",0.116900962428551,132,968,1298731.36871006,11109672.1680442
"race_eth","Black (NH)",0.277361054485917,332,1143,5291990.50950504,19079789.4077581
"race_eth","Hispanic",0.265573749434777,732,2635,7919715.62146635,29821153.778647
"race_eth","Other (NH)",0.225433757616957,79,355,866687.857959941,3844534.49705862
"race_eth","White (NH)",0.170921322476102,1241,7229,14265264.1421105,83460997.9343279
"earn_decile","1",0.409713944161291,535,1244,6033424.37048498,14725943.4453366
"earn_decile","2",0.520328560367779,614,1184,7652130.58297073,14706343.579453
"earn_decile","3",0.574789128568398,704,1224,8481673.11990244,14756147.4258001
"earn_decile","4",0.249893612646067,318,1214,3679261.94651106,14723313.2834096
"earn_decile","5",0.158096465955526,194,1192,2250129.73046106,14232637.7560776
"earn_decile","6",0.0855466361767145,123,1267,1303731.33655847,15240007.0280418
"earn_decile","7",0.0164490625932784,28,1227,242038.412863146,14714419.8333861
"earn_decile","8",0,0,1223,0,14750969.3598079
"earn_decile","9",0,0,1229,0,14734177.3055173
"earn_decile","10",0,0,1326,0,14732188.7690057
