"highlight","value"
"Worker frame share of ALL TE dollars (rest: older/non-working contributors, imputed IRA owners)","96.9%"
"TE dollar share captured by workers WITH employer access (pop share shown alongside)","97.5% of TE dollars vs 48.3% of workers"
"TE dollar share captured by match recipients","75.7% of TE dollars vs 36.7% of workers"
"Mean TE per worker: has vs lacks employer access ($/yr)","$3,394 vs $81"
"Mean TE per worker: match recipients vs non-recipients ($/yr)","$3,465 vs $646"
"Mean TE per worker: bachelor's+ vs less than HS ($/yr)","$2,875 vs $57"
"Mean TE per worker: White (NH) vs Hispanic ($/yr)","$1,923 vs $907"
"Mean TE per worker: top vs bottom worker earnings decile ($/yr)","$5,084 vs $92"
"Share benefiting: has vs lacks employer access","91.3% vs 3.7%"
"Share benefiting, lacks access: HEADLINE (concentrated IRA) vs owner-wide smear sensitivity","3.7% vs 14.5%"
