"dimension","group","pop_share","te_share","mean_te","pct_benefiting","mean_te_benef","mean_te_r6"
"Pillar 1: access","Has employer access",0.4829,0.9749,3394.2587,0.9131,3778.4075,4704.8263
"Pillar 1: access","Lacks employer access",0.5171,0.0251,81.496,0.0367,2506.1077,126.2455
"Pillar 2: participation","Does not participate",0.5704,0.0557,164.0656,0.0672,2446.8141,216.9098
"Pillar 2: participation","Participates",0.4296,0.9443,3695.4569,0.9813,3842.2305,5152.2555
"Pillar 3: matching","No employer match",0.6327,0.2431,645.9761,0.1561,4198.2759,895.6575
"Pillar 3: matching","Receives employer match",0.3673,0.7569,3464.5366,0.9832,3596.6839,4820.4906
"Worker class","Government",0.1352,0.3439,4275.4901,0.6432,6719.8092,5700.2817
"Worker class","Private",0.7628,0.6333,1395.7666,0.4695,3030.5495,1975.7289
"Worker class","Self-employed",0.102,0.0229,376.5951,0.1452,2956.7322,582.0816
"Full-/part-time","Full-time",0.776,0.9599,2079.5797,0.5374,3906.3548,2912.5491
"Full-/part-time","Part-time",0.224,0.0401,300.9718,0.1915,1971.6001,343.8596
"Sex","Female",0.4779,0.4408,1550.7857,0.439,3636.2224,2115.0934
"Sex","Male",0.5221,0.5592,1800.508,0.479,3801.1385,2540.4142
"Race/ethnicity","Asian (NH)",0.0754,0.124,2763.2807,0.5452,5125.079,3936.0104
"Race/ethnicity","Black (NH)",0.1295,0.0971,1259.8712,0.3946,3520.0389,1558.0899
"Race/ethnicity","Hispanic",0.2024,0.1093,907.351,0.295,3101.1639,1229.933
"Race/ethnicity","Other (NH)",0.0261,0.0217,1395.3768,0.4072,3440.2137,1951.3574
"Race/ethnicity","White (NH)",0.5665,0.6481,1923.0938,0.5248,3703.5086,2715.8245
"Education","Bachelor's+",0.4268,0.73,2875.2503,0.6234,4662.0069,4070.5916
"Education","HS grad",0.2535,0.1031,683.9033,0.3149,2215.7756,919.9451
"Education","Less than HS",0.0606,0.002,56.7556,0.158,1630.2082,-182.2069
"Education","Some college/assoc",0.259,0.1648,1069.6316,0.403,2686.8329,1457.2814
"Age band","18-24",0.1177,0.0187,267.5631,0.1704,1575.8161,369.4069
"Age band","25-34",0.2411,0.2189,1526.8472,0.4355,3642.786,2047.1188
"Age band","35-44",0.2439,0.3194,2201.7523,0.5245,4249.7894,3060.9456
"Age band","45-54",0.2161,0.2705,2104.566,0.5234,4057.0193,2976.6755
"Age band","55-64",0.1813,0.1725,1599.3695,0.5177,3165.542,2264.7219
"Disability","Disability",0.1259,0.0813,1085.3469,0.3949,2779.3265,1495.0428
"Disability","No disability",0.8704,0.9178,1772.6858,0.4697,3849.3892,2466.6524
"Worker earnings decile","1",0.1,0.0055,92.1965,0.1047,1078.2429,101.8291
"Worker earnings decile","2",0.0998,0.008,134.2485,0.1449,1081.3634,129.6402
"Worker earnings decile","3",0.1002,0.004,67.8835,0.1914,1137.8422,-106.3248
"Worker earnings decile","4",0.0999,0.0285,478.667,0.3421,1422.7108,654.8504
"Worker earnings decile","5",0.0966,0.0541,941.7099,0.466,2025.722,1263.6638
"Worker earnings decile","6",0.1035,0.0787,1278.3345,0.528,2437.9791,1680.861
"Worker earnings decile","7",0.0999,0.1185,1993.7971,0.6368,3172.4702,2668.5315
"Worker earnings decile","8",0.1001,0.1725,2895.6561,0.6957,4163.5648,3982.451
"Worker earnings decile","9",0.1,0.2279,3830.7389,0.7165,5355.036,5349.305
"Worker earnings decile","10",0.1,0.3024,5084.3224,0.77,6702.4883,7629.0441
"Household income decile (CBO-style)","1",0.04,-0.0005,-19.5564,0.0495,932.558,-141.4299
"Household income decile (CBO-style)","2",0.0622,0.0055,147.5811,0.1597,1230.9981,135.238
"Household income decile (CBO-style)","3",0.0785,0.0166,355.2573,0.2556,1448.4072,472.9245
"Household income decile (CBO-style)","4",0.0905,0.0232,431.321,0.3172,1396.6463,617.4382
"Household income decile (CBO-style)","5",0.1027,0.048,785.2969,0.4139,2185.3574,884.9643
"Household income decile (CBO-style)","6",0.1114,0.0703,1060.7987,0.4623,2362.7652,1378.8759
"Household income decile (CBO-style)","7",0.1198,0.1145,1606.9818,0.5084,3160.9151,2173.9103
"Household income decile (CBO-style)","8",0.1258,0.1701,2272.5755,0.5732,3967.3922,3132.9602
"Household income decile (CBO-style)","9",0.139,0.2223,2687.2734,0.6073,4433.5964,3800.5224
"Household income decile (CBO-style)","10",0.1301,0.3301,4264.5481,0.6743,6412.4438,6254.1936
