"decile","income_te_B","payroll_te_B","total_te_B","income_share","payroll_share","total_share","pct_benefiting","mean_te_benef"
1,-0.381771125440658,0.194602878820443,-0.187168246620215,-0.00209426384913725,0.00265114794412057,-0.000731992457492483,0.0090741032085737,910.683814612735
2,0.687785980608035,0.658499929246364,1.3462859098544,0.00377295510096066,0.00897099130396648,0.00526516195688608,0.0484153609925214,1149.80386503221
3,2.4520912577074,1.79156895358616,4.24366021129355,0.0134513213116227,0.024407215231552,0.0165964436966219,0.0988583310631196,1356.65017554533
4,3.50548171813869,2.64508583893681,6.1505675570755,0.0192298556566729,0.0360349956096491,0.0240541285307472,0.143172291368484,1337.11501044808
5,6.28461347856512,5.95421037891725,12.2388238574824,0.0344752076228077,0.0811164392870716,0.0478645652455911,0.217943010432424,1947.52848325616
6,11.0686706684219,6.89037940335974,17.9590500717816,0.0607188844156967,0.0938702207292778,0.0702356806437817,0.267392059096785,2092.79570843591
7,19.213489426207,9.84036722107057,29.0538566472776,0.105398532365803,0.134059010255464,0.113626132161341,0.311346012338017,2845.20444515467
8,29.1841144149275,14.3537775156467,43.5378919305743,0.160093919407135,0.195546890064677,0.170271448730135,0.361688489459566,3628.44968611762
9,40.6880382906665,16.3643542635978,57.0523925542643,0.223200451804992,0.222937730550369,0.223125032080689,0.424075857253163,4077.58531681162
10,69.5911952515721,14.7104049336722,84.3016001852444,0.381753136163446,0.200405359023852,0.329693399411699,0.450596091015272,5777.63938294593
